title,company,location,education,experience,contract_type,skills,date_posted,description,url,scrape_date,job_hash
"Warehouse Supervisor - Ashanti, Volta, Greater Accra, Central",DESTINY WORK RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for an experienced  Warehouse Supervisor  to manage and oversee all warehouse activities, ensure efficient processes, and maximise warehouse productivity. Ideal candidates should be able to supervise employees, coordinate logistical processes, ensure the quality of goods, and prepare relevant documentation.     Responsibilities :    Supervising warehouse staff and daily activities.  Managing, evaluating and reporting on warehouse productivity.  Tracking and coordinating the receipt, storage, and timely delivery of goods and materials.  Ordering supplies and maintaining suitable inventory levels.  Checking orders, bills, items received, inventory, and deliveries for accuracy.  Maintaining records,... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/warehouse-supervisor-ashanti-volta-greater-accra-central-194043,2025-05-02,1b18e7385f7e7b21790753c7b0128ca6
"Sales Manager - Ashanti, Volta, Greater Accra, Central",DESTINY WORK RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a high-performing  Sales Manager  to help us meet our customer acquisition and revenue growth targets by keeping our company competitive and innovative. You will be responsible for maximizing our sales team's potential, crafting sales plans and justifying those plans to the upper management.   Responsibilities :    Achieve growth and hit sales targets by successfully managing the sales team  Design and implement a strategic business plan that expands the company's customer base and ensures it’s strong presence  Own recruiting, objectives setting, coaching and performance monitoring of sales representatives  Build and promote strong, long-lasting customer relationships by partnering with them and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-manager-ashanti-volta-greater-accra-central-194045,2025-05-02,3efa609890aba3ae869f4365ff36de21
Pharmaceutical Sales Representative - Ghana,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/pharmaceutical-sales-representative-ghana-194213,2025-05-02,d0eaaa0aaf33d1851d1887e8384e712e
Sales / Marketing Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for  Sales / Marketing Manager.  Overall, responsible for driving sales and revenue growth through the development and execution of effective sales and marketing strategies across the businesses.   General Accountabilities:     Business growth and increased profitability    Develop and implement business growth strategies to drive revenue growth and meet or exceed business targets.  Improve revenue by identifying and outlining other business expansion opportunities that will drive and increase revenue growth.  Embark on a customer expansion drive to ensure the onboarding of at least 5 clients per quarter from different industries to improve overall business profitability.  Manage budgets and resources... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-marketing-manager-accra-194547,2025-05-02,cfd9b087ac9b89b62fa286a16547a2df
Marketing Officer - Accra,N/A,"We are seeking a dynamic and results-driven  Marketing Officer  to join our team in Accra. The ideal candidate must be fluent in both  English and French , possess strong  IT skills , and have experience in marketing. Knowledge of graphic design tools is an added advantage.   Key Responsibilities:    Develop and execute marketing strategies to promote the company’s products/services.  Create and manage content for digital and traditional marketing channels.  Conduct market research to identify trends, customer needs, and competitive positioning.  Develop marketing materials, including brochures, presentations, and advertisements.  Manage social media accounts and engage with online audiences.  Collaborate with internal... 
+plus",N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a dynamic and results-driven  Marketing Officer  to join our team in Accra. The ideal candidate must be fluent in both  English and French , possess strong  IT skills , and have experience in marketing. Knowledge of graphic design tools is an added advantage.   Key Responsibilities:    Develop and execute marketing strategies to promote the company’s products/services.  Create and manage content for digital and traditional marketing channels.  Conduct market research to identify trends, customer needs, and competitive positioning.  Develop marketing materials, including brochures, presentations, and advertisements.  Manage social media accounts and engage with online audiences.  Collaborate with internal... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/marketing-officer-accra-195656,2025-05-02,8c94f676f9be33fab878223e63c4750c
Social Media Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/social-media-manager-accra-195662,2025-05-02,1c8cc8c033af04b5c108036bd7c1157b
Revenue Operations Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Revenue Operations Manager.   The Revenue Operations Manager will be responsible for optimizing our revenue and ensuring alignment across business development, customer service, and account teams. This role involves driving revenue growth and improving operational efficiency.    Responsibilities:    Manage Daily Operations: Develop and implement revenue operation strategies to drive growth and customer satisfaction.  Coordination: Collaborate with other departments to improve operational processes and systems.  Team Leadership: Lead and motivate the business development team, providing training and support as needed. Ensure compliance with company policies and procedures.  Cost Management: Develop... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/revenue-operations-manager-accra-195665,2025-05-02,aebb2adbd3aa5154a784db6a1e4d416e
Clearing and Forwarding Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Clearing and Forwarding Manager.   The Clearing and Forwarding Manager will oversee the daily operations of the C & F department, ensuring efficient and effective management of the supply chain. This role involves coordinating with various stakeholders and ensuring timely clearance delivery of goods.   Responsibilities:    Manage Daily Operations: Oversee the daily activities of the customer service, operations, and documentation team, including the customs clearance, loading and unloading of goods.  Customs Liaison: Act as the primary point of contact with customs authorities, respond to queries, and resolve any issues that may arise during the clearance process.  Coordinate Shipments: Manage the... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/clearing-forwarding-manager-accra-195666,2025-05-02,32eaf29a78c364b23f0e050fbdb37083
Restaurant Operations Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are recruiting on behalf of our client an  Operations Manager  in the restaurant business. The Restaurant Operations Manager is responsible for overseeing the daily operations of the restaurant, ensuring smooth service, high customer satisfaction, and efficient workflow. This role focuses on staff management, cost control, process optimisation, and compliance while maintaining the restaurant’s brand standards. The ideal candidate is a hands-on leader who can drive performance, improve efficiency, and foster a positive work environment.   Key Responsibilities:    Daily Operations Management: Oversee front-of-house (FOH) and back-of-house (BOH) operations, ensuring seamless coordination between kitchen, service, and bar... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/restaurant-operations-manager-accra-195775,2025-05-02,7953e9a3cc79b0c304cad634c8ae8aee
Operations Manager - Tema,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for an  Operations Manager.   The Operations Manager will oversee the daily operations of the logistics department, ensuring efficient and effective management of the supply chain. This role involves coordinating with various stakeholders, managing inventory, and ensuring timely delivery of goods.   Key Responsibilities:    Manage Daily Operations: Oversee the daily activities of the logistics team, including the customs clearance, loading and unloading of goods, inventory management, and transportation.  Coordinate Shipments: Manage the scheduling and routing of shipments to ensure timely delivery. Communicate with suppliers, carriers, and customers to coordinate logistics.  Inventory Management: Monitor... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/operations-manager-tema-195793,2025-05-02,bd2432cb919cd6f95033dbda14af2811
Sales Representative - Remote,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/sales-representative-remote-195833,2025-05-02,981d4336f17a12a1ae35d5faf2ecdadd
Sales Representative - Remote,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/sales-representative-remote-195845,2025-05-02,7209f515e18293ad7b4b09a9a54315d9
QHSE Manager - Tema,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  QHSE   Manager  to develop, implement, and manage all programs and activities relevant to the Integrated Management System (IMS) encompassing Quality (ISO 9001:2015 standard), Health and Safety (ISO45001:2018 standard), and the Environmental (ISO 14001:2015) whilst adhering to QHSE standards, responsibilities policies, and procedures. The QHSE Manager must also comply with the responsibilities detailed in the IMS manual.  Key Responsibilities:    Manage Daily Operations: Ensure comprehensive risk assessments are in place for all activities with significant hazards and foreseeable risks. Guide the completion of risk assessments.  Compliance: Act as a point of contact with all enforcement agencies and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/qhse-manager-tema-195889,2025-05-02,d3b5c24241a98209fb85103518c8b955
Sales Executive - East Legon,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a results-driven and dynamic  Sales Executive  with a strong understanding of IT solutions, including data center solutions, cybersecurity, and IT hardware. The ideal candidate will be responsible for identifying business opportunities, engaging with clients, and driving revenue growth by promoting and selling IT products and services.   Key Responsibilities:      Sales & Business Development:     Identify, engage, and develop new business opportunities across enterprise, government, and public sectors.    Build and maintain strong client relationships through regular interactions and meetings.    Conduct thorough market research to identify trends, competition, and potential customers.       Product... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-executive-east-legon-195890,2025-05-02,7ca80f09496ef1e81d6d489f53cac517
General Manager  - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  General Manager.   The General Manager (GM) is responsible for overseeing the entire operations of the manufacturing company, ensuring the company achieves its strategic objectives, maintains financial health, and drives business growth. The GM will lead teams across production, sales, marketing, logistics, and finance, ensuring smooth coordination and efficiency.  The ideal candidate should have a strong background in FMCG, particularly cosmetics or personal care products, with expertise in operations management, sales strategies, and product development.   Responsibilities :    Business Strategy & Growth    Develop and execute short- and long-term business strategies to achieve revenue and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/general-manager-accra-196257,2025-05-02,331dc36f58cf72a3119d0e0ff2ce5d02
Sales Executive / Business Developer - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/sales-executive-business-developer-accra-196280,2025-05-02,fc6bebcb99a806e637239559a67156d1
Software Sales Consultant - Greater Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/software-sales-consultant-greater-accra-196638,2025-05-02,fa0ec8d8d089346cd078e8ac310f42b2
Digital and Field Marketing Specialist - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/digital-field-marketing-specialist-accra-196666,2025-05-02,3b92c829d4f0968a70c6d51fc3c3bd45
International Admissions Officer - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/international-admissions-officer-accra-196695,2025-05-02,40cf4cef9528bdbd15723eb5e2ac1eb7
Production Manager - Vienna,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/production-manager-vienna-196782,2025-05-02,fe2bfcab0ce53524c2c1be800a7505f0
Chief Operating Officer (COO) - Remote In US,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a visionary and results-driven  Chief Operating Officer (COO)  to lead our company towards operational excellence. This role will encompass responsibilities traditionally associated with a CEO, ensuring strategic execution and operational efficiency across all departments.   Key Responsibilities    Lead overall company operations, aligning them with strategic goals and vision.  Develop and implement effective systems and processes to enhance operational performance.  Spearhead hiring initiatives to build and maintain a high-performing team, making critical staffing decisions.  Foster a culture of innovation by evaluating and integrating new technologies and strategies.  Drive results across all departments,... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/chief-operating-officer-coo-remote-us-196832,2025-05-02,625e020fc61b33ab8f5561d0fb11c9ea
Sales and Relationship Officer - Worldwide,TCL RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/sales-relationship-officer-worldwide-196858,2025-05-02,9ef46361bb3a0beff1d1894cefa6fcf0
"Administrative Assistant - Ashanti, Volta, Greater Accra, Central",DESTINY WORK RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/administrative-assistant-ashanti-volta-greater-accra-central-196936,2025-05-02,bdfcd79bec79f8996a1f676382faace0
"Production Manager - Greater Accra, Western,Upper East",DESTINY WORK RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a highly organised  Production Manager  to create production schedules, oversee production processes and ensure that the required materials are selected and purchased. The ideal candidate will ensure that equipment functions correctly and that health and safety protocols are followed. Also, candidates are expected to have deep know-how in production procedures. The ability to direct personnel towards maximum performance will set you apart as a leader. Decision-making and problem-solving will take up a great part of your day. We’d like to talk to you about it if you are up to it.     Responsibilities :    1. Creating a production schedule.   2. Liaise with other managers to formulate objectives and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/production-manager-greater-accra-westernupper-east-196940,2025-05-02,9a928a5c425fd1c9fa02b4c446e0695a
"Purchasing Assistant - Greater Accra, Western,Upper East",DESTINY WORK RECRUITMENT,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a detail-oriented  Purchasing Assistant  to join our team. Your primary responsibility will be to order supplies and equipment for our company's needs. This will involve researching new vendors, tracking deliveries, and maintaining accurate order records, including dates, invoices, and discounts. Familiarity with supply chain procedures and the ability to create and interpret cost analyses are essential for this role. Your goal will be to make cost-effective purchases while ensuring our inventory remains well-stocked. We would like to meet you if you have a keen eye for detail and a strong understanding of procurement processes.    Responsibilities :   1. Assist with managing the administrative... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/purchasing-assistant-greater-accra-westernupper-east-196943,2025-05-02,0419c588dd67ac1cf44e2c450889c9e6
Digital Sales Manager - Ghana,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/digital-sales-manager-ghana-197144,2025-05-02,0d8ed8202047e000d9b1cc11710417b8
Software Sales Executive - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Software Sales Executive.    Responsibilities  :   Identify and prospect new potential clients within the software industry  Develop and maintain a robust pipeline of leads, following up on inbound and outbound sales opportunities  Conduct market research to identify potential customers and understand their needs  Use a consultative sales approach to tailor software solutions to clients’ specific needs  Achieve or exceed individual sales targets and KPI’s related to software sales  Prepare and deliver product presentations and demos to potential clients  Negotiate and close sales deals, working within the company’s pricing and policies  Manage sales cycles from lead generation through... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/software-sales-executive-accra-197157,2025-05-02,73b157a4b2a6c17076198d7df8bba62b
Solar Sales Executive - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Solar Sales Executive.    Responsibilities :    Identify and engage with potential customers through various means, including cold calling, referrals, networking and attending industry events  Develop and maintain a database of leads and effectively prioritize them for sales outreach  Educate customers on the advantages of solar energy, including cost savings, environmental benefits and available incentives   Explain the solar installation process, system components and financing options to potential customers  Visit customers' locations to evaluate their energy needs, roof suitability and sun exposure to determine the optimal solar system size and design  Collaborate with design and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/solar-sales-executive-accra-197163,2025-05-02,71deb97941f7b223953b251b6bf30e64
Real Estate Sales Executive - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/real-estate-sales-executive-accra-197368,2025-05-02,60fe26f97819ec2154680e265b1ed2d6
Real Estate Company Assistant - Online,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Real Estate Company Assistant.    Responsibilities :    Administrative Support: Answering phones & emails, scheduling appointments  Real Estate Listings: Posting/updating property listings on MLS & websites  Transaction Coordination: Assisting with contracts, paperwork & client follow-ups  Marketing & Social Media: Creating flyers, social media posts & real estate ads  Client & Agent Assistance: Managing showings, open houses & inquiries  Office Organization: Filing, preparing reports, and maintaining records    Experiences:    Real estate office assistant  Customer support  Administrative assistant  Bookkeeping    
+plus",https://www.ghanajob.com/job-vacancies-ghana/real-estate-company-assistant-online-197406,2025-05-02,bb495cf61b2ebe9b95b788e030a637f6
HR Manager (Consultant) - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a dynamic and results-driven  HR Manager  with experience in banking or logistics to join us on a project-to-project basis. This role is ideal for a mid-level HR professional with experience in establishing HR structures, policies, and talent management systems. As a consultant, you will collaborate with our leadership team on key HR projects, ensuring the company’s workforce strategies align with business goals. This is an excellent opportunity to work flexibly while making a significant impact.   Key Responsibilities:    Executive Recruitment     Develop tailored job descriptions that align with business strategy and growth objectives.    Identify, source, and assess qualified executive candidates (CEO... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/hr-manager-consultant-accra-197442,2025-05-02,2ff37cff5a8edc37fdc139facb16658c
Warehouse and Stock Supervisor - Spintex,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are seeking a dedicated and detail-oriented  Warehouse and Stock Supervisor  to lead offloading operations and stock management within a busy, high-volume manufacturing environment. This role is critical in ensuring accurate handling of incoming materials and finished goods, optimizing space and stock flow, and upholding safety and operational excellence across the warehouse and storage yard. The ideal candidate will have hands-on experience supervising warehouse staff, overseeing stock movement, and managing real-time inventory tracking systems. Familiarity with high-throughput production environments, especially those dealing with bulky or high-volume goods, will be highly beneficial.   Key Responsibilities:    Offloading... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/warehouse-stock-supervisor-spintex-198076,2025-05-02,832bb6bb8bfb7681dfb7a414d68ae6b4
Transport Programm Assistant - Cotonou (Benin),N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Transport Programm Assistant.  Under the authority of the Head of Transport Program Management, the Transport Program Assistant supports their supervisor in implementing activities related to the transportprogram.   Responsibilities :   Assist in the implementation of all department activities.   Participate in data collection under the supervision of the department head.  Prepare and oversee missions related to program and project activities and draft corresponding reports.  Collaborate with the department head to plan and execute monitoring and evaluation activities.  Participate in capacity-building activities for personnel involved in transport operations at border crossings.  Track performance... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/transport-programm-assistant-cotonou-benin-198193,2025-05-02,f4b935313ccdf5d53aa6cf900541ac0d
Human Resources Manager - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Human Resources Manager.   The HR Manager is responsible for overseeing all aspects of human resources practices and processes. This role includes managing recruitment, employee relations, performance management, training and development, and ensuring compliance with labor laws and company policies. The HR Manager works closely with senior management to develop and implement HR strategies that support organizational goals.   Key Responsibilities:     Develop and implement effective recruitment strategies to attract and retain top talent.    Foster a positive work environment by addressing employee concerns and resolving conflicts.    Oversee the performance appraisal process, providing guidance and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/human-resources-manager-accra-198846,2025-05-02,1cdc5a25c7afb259d5d04f21fa2a5406
Maritime and Shipping Terminal Operations Officer - Greater Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Maritime and Shipping Terminal Operations Officer.      Job Summary    The Economic Community of West African States (ECOWAS) Integrated Maritime Strategy (EIMS)'s plan is to improve maritime security and safety in West Africa.The strategy was launched in 2014.    Objectives    Governance:Strengthen legal and policy requirements, and governance mechanisms  Security:Prevent and combat piracy, armed robbery, and illegal fishing  Environment:Prevent and combat pollution, and manage natural disasters  Economy:Optimize the ECOWAS maritime economy, and develop fisheries and aquaculture  Awareness:Promote maritime awareness and research    Components:    Maritime surveillance:Improve surveillance and... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/maritime-shipping-terminal-operations-officer-greater-accra-198914,2025-05-02,0c4b122dcd0fdaee52012fa0bd20a25e
Finance Manager -  Greater Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/finance-manager-greater-accra-198915,2025-05-02,4b5c8d6e9a0e68029f5aff5a424e14ec
Medical Officer - Brong Ahafo,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for a  Medical Officer.    Description    The Medecins Sans Frontières (MSF) is an international, independent, medical humanitarian organization that delivers emergency aid to people affected by armed conflict, epidemics, pandemics, natural disasters, and exclusion from healthcare working in close contact with the United Nations Industrial Development Organization, and the Preparatory Commission for the Comprehensive Nuclear-Test-Ban Treaty Organization).    Main Purpose    In response to the alarming malnutrition crisis, MSF expanded activities in 2022, working in 32 outpatient therapeutic feeding centers and 10 inpatient therapeutic feeding centers across Kano, Katsina, Kebbi, Sokoto, and Zamfara states in... 
+plus",https://www.ghanajob.com/job-vacancies-ghana/medical-officer-brong-ahafo-198916,2025-05-02,eb9e4ba223e3d07ec73f8342ac7aef8d
Influencer Agent - Remote,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for an  Influencer Agent.     Job Requirements:  Familiarity with major social media platforms (Facebook, Instagram, TikTok, etc.).    Compensation:    Probation Period:  $500 per month   Permanent Period:  $800 - $1200 per month.         Job Type:  Full-time  Working hours:  12:30-14:00, 15:00-19:00, 20:00-00:30 (Brazil time, the intervals between periods are for rest).    Location:  Remote Work     Job Description:  Identify suitable influencers for the company.    
+plus",https://www.ghanajob.com/job-vacancies-ghana/influencer-agent-remote-199253,2025-05-02,2209a510c29e5e2c969bf025a70eccd8
Sales Executives - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,"We are looking for  Sales Executives.    Responsibilities :   Your responsibilities will include;   Research and recommend prospects for new business opportunities  Research and analyze sales options  Build and maintain relationships with clients and prospects  Stay current with trends and competitors to identify improvements.  Collect and analyze information and prepare data and sales reports  Attend workshops to learn more technical and professional skills for the job  Build and maintain professional networks  Meet with potential clients to determine their needs  
+plus",https://www.ghanajob.com/job-vacancies-ghana/sales-executives-accra-199535,2025-05-02,a9ffb323ca816dfb414b6b3974583154
Independent Sales Representatives - Accra,N/A,N/A,N/A,N/A,N/A,N/A,30.04.2025,N/A,https://www.ghanajob.com/job-vacancies-ghana/independent-sales-representatives-accra-199621,2025-05-02,bd9fca385d08843a65c5c955bd999e9e
